Name	Description	type	Address
Butchers Coffee		Food and Drinks	"Kasteelstraat 57, 2000 Antwerpen, Belgium"
Tartoer - Coffee Bar		Food and Drinks	"Korte Koepoortstraat 2, 2000 Antwerpen, Belgium"
Caffe Mundi		Food and Drinks	"Oude Beurs 24, 2000 Antwerpen, Belgium"
ToiToiToi Coffee x Culture - Antwerpen		Food and Drinks	"Lange Koepoortstraat 42, 2000 Antwerpen, Belgium"
Rush Rush Coffee		Food and Drinks	"Lange Altaarstraat 29, 2018 Antwerpen, Belgium"
De Koninck - Antwerp City Brewery		Food and Drinks	"Mechelsesteenweg 291, 2018 Antwerpen, Belgium"
Camino		Food and Drinks	"Muntstraat 4, 2000 Antwerpen, Belgium"
Mico & Jon		Food and Drinks	"Kloosterstraat 13, 2000 Antwerpen, Belgium"
Apo's		Food and Drinks	"Boomgaardstraat 99, 2018 Antwerpen, Belgium"
Lewis Antwerp		Food and Drinks	"Schildersstraat 25, 2000 Antwerpen, Belgium"
Bar d'Henri		Food and Drinks	"Montignystraat 21, 2018 Antwerpen, Belgium"
Dim Dining		Food and Drinks	"Vrijdagmarkt 7, 2000 Antwerpen, Belgium"
The Jane		Food and Drinks	"Paradeplein 1, 2018 Antwerpen, Belgium"
't Fornuis	Michelin star restaurant	Food and Drinks	"Reyndersstraat 24, 2000 Antwerpen, Belgium"
Milad Ice Cream		Food and Drinks	"Kloosterstraat 120, 2000 Antwerpen, Belgium"
Mission Masala Antwerpen		Food and Drinks	"Dendermondestraat 68, 2018 Antwerpen, Belgium"
Izumi		Food and Drinks	"Beeldhouwersstraat 44, 2000 Antwerpen, Belgium"
Frituur Ellen		Food and Drinks	"Gillisplaats 3, 2000 Antwerpen, Belgium"
Restaurant Kato		Food and Drinks	"De Vrièrestraat 4, 2000 Antwerpen, Belgium"
Felix Pakhuis		Venue	"Godefriduskaai 30, 2000 Antwerpen, Belgium"
Chatleroi		Bars	"Graaf van Hoornestraat 2, 2000 Antwerpen, Belgium"
Bar Burbure		Bars	"Vlaamsekaai 41, 2000 Antwerpen, Belgium"
Cafe Kulminator		Bars	"Vleminckveld 32, 2000 Antwerpen, Belgium"
Vitrin		Bars	"Marnixplaats 14, 2000 Antwerpen, Belgium"
Paters Vaetje		Bars	"Blauwmoezelstraat 1, 2000 Antwerpen, Belgium"
De Muze		Bars	"Melkmarkt 15, 2000 Antwerpen, Belgium"
Café Hopper		Bars	"Leopold de Waelstraat 2, 2000 Antwerpen, Belgium"
dogma Cocktails		Bars	"Wijngaardstraat 5, 2000 Antwerpen, Belgium"
